product_id,branch_id,season_id,sales_price,Full_price,Quantity,ag_sum,ag_average,ag_count
P1,B1,S1,123,501,10,,,
P1,B1,S2,124,502,11,,,
P1,B2,S3,125,503,12,,,
P1,B2,S4,126,504,13,,,
P1,B2,S5,127,505,14,,,
P2,B3,S6,128,506,15,,,
P3,B4,S7,129,507,16,,,
P4,B5,S8,130,508,17,,,
P5,B6,S9,131,509,18,,,
P6,B7,S10,132,510,19,,,
P7,B8,S11,133,511,20,,,
P8,B9,S12,134,512,21,,,
P9,B10,S13,135,513,22,,,
P10,B11,S14,136,514,23,,,
P11,B12,S15,137,515,24,,,
P12,B13,S16,138,516,25,,,
P13,B14,S17,139,517,26,,,
P14,B15,S18,140,518,27,,,
P15,B16,S19,141,519,28,,,
P15,B17,S20,142,520,29,,,
P15,B18,S21,143,521,30,,,
P16,B19,S22,144,522,31,,,
P17,B20,S23,145,523,32,,,
P18,B21,S24,146,524,33,,,
P19,B22,S25,147,525,34,,,
P20,B23,S26,148,526,35,,,
P21,B24,S27,149,527,36,,,
P22,B25,S28,150,528,37,,,
P23,B26,S29,151,529,38,,,
P24,B27,S30,152,530,39,,,
P25,B28,S31,153,531,40,,,
P26,B29,S32,154,532,41,,,
P27,B30,S33,155,533,42,,,
P28,B31,S34,156,534,43,,,
P29,B32,S35,157,535,44,,,
P30,B33,S36,158,536,45,,,
P31,B34,S37,159,537,46,,,
P32,B35,S38,160,538,47,,,
P33,B36,S39,161,539,48,,,
P34,B37,S40,162,540,49,,,
P35,B38,S41,163,541,50,,,
P36,B39,S42,164,542,51,,,
P37,B40,S43,165,543,52,,,
P38,B41,S44,166,544,53,,,
P39,B42,S45,167,545,54,,,
P40,B43,S46,168,546,55,,,
P41,B44,S47,169,547,56,,,
P42,B45,S48,170,548,57,,,
P43,B46,S49,171,549,58,,,
P44,B47,S50,172,550,59,,,
P45,B48,S51,173,551,60,,,
P46,B49,S52,174,552,61,,,
P47,B50,S53,175,553,62,,,
P48,B51,S54,176,554,63,,,
P49,B52,S55,177,555,64,,,
P50,B53,S56,178,556,65,,,
P51,B54,S57,179,557,66,,,
P52,B55,S58,180,558,67,,,
P53,B56,S59,181,559,68,,,
P54,B57,S60,182,560,69,,,
P55,B58,S61,183,561,70,,,
P56,B59,S62,184,562,71,,,
P57,B60,S63,185,563,72,,,
P58,B61,S64,186,564,73,,,
P59,B62,S65,187,565,74,,,
P60,B63,S66,188,566,75,,,
P61,B64,S67,189,567,76,,,
P62,B65,S68,190,568,77,,,
P63,B66,S69,191,569,78,,,
P64,B67,S70,192,570,79,,,
P65,B68,S71,193,571,80,,,
P66,B69,S72,194,572,81,,,
P67,B70,S73,195,573,82,,,
P68,B71,S74,196,574,83,,,
P69,B72,S75,197,575,84,,,
P70,B73,S76,198,576,85,,,
P71,B74,S77,199,577,86,,,
P72,B75,S78,200,578,87,,,
P73,B76,S79,201,579,88,,,
P74,B77,S80,202,580,89,,,
P75,B78,S81,203,581,90,,,
P76,B79,S82,204,582,91,,,
P77,B80,S83,205,583,92,,,
P78,B81,S84,206,584,93,,,
P79,B82,S85,207,585,94,,,
P80,B83,S86,208,586,95,,,
P81,B84,S87,209,587,96,,,
P82,B85,S88,210,588,97,,,
P83,B86,S89,211,589,98,,,
P84,B87,S90,212,590,99,,,
P85,B88,S91,213,591,100,,,
P86,B89,S92,214,592,101,,,
P87,B90,S93,215,593,102,,,
P88,B91,S94,216,594,103,,,
P89,B92,S95,217,595,104,,,
P90,B93,S96,218,596,105,,,
P91,B94,S97,219,597,106,,,
P92,B95,S98,220,598,107,,,
P93,B96,S99,221,599,108,,,
P94,B97,S100,222,600,109,,,
P95,B98,S101,223,601,110,,,
P96,B99,S102,224,602,111,,,
P97,B100,S103,225,603,112,,,
P98,B101,S104,226,604,113,,,
P99,B102,S105,227,605,114,,,
P100,B103,S106,228,606,115,,,
P101,B104,S107,229,607,116,,,
P102,B105,S108,230,608,117,,,
P103,B106,S109,231,609,118,,,
P104,B107,S110,232,610,119,,,
P105,B108,S111,233,611,120,,,
P106,B109,S112,234,612,121,,,
P107,B110,S113,235,613,122,,,
P108,B111,S114,236,614,123,,,
P109,B112,S115,237,615,124,,,
P110,B113,S116,238,616,125,,,
P111,B114,S117,239,617,126,,,
P112,B115,S118,240,618,127,,,
P113,B116,S119,241,619,128,,,
P114,B117,S120,242,620,129,,,
P115,B118,S121,243,621,130,,,
P116,B119,S122,244,622,131,,,
P117,B120,S123,245,623,132,,,
P118,B121,S124,246,624,133,,,
P119,B122,S125,247,625,134,,,
P120,B123,S126,248,626,135,,,
P121,B124,S127,249,627,136,,,
P122,B125,S128,250,628,137,,,
P123,B126,S129,251,629,138,,,
P124,B127,S130,252,630,139,,,
P125,B128,S131,253,631,140,,,
P126,B129,S132,254,632,141,,,
P127,B130,S133,255,633,142,,,
P128,B131,S134,256,634,143,,,
P129,B132,S135,257,635,144,,,
P130,B133,S136,258,636,145,,,
